country,MostDangerousCountriesForWomen_WomenPeaceAndSecurityIndex_Score_2023,MostDangerousCountriesForWomen_WomensDangerIndexWDI_TotalScore_2019,MostDangerousCountriesForWomen_WDIStreetSafety_2019,MostDangerousCountriesForWomen_WDIIntentionalHomicide_2019,MostDangerousCountriesForWomen_WDINonPartnerViolence_2019,MostDangerousCountriesForWomen_WDIIntimatePartnerViolence_2019,MostDangerousCountriesForWomen_WDILegalDiscrimination_2019,MostDangerousCountriesForWomen_WDIGlobalGenderGap_2019,MostDangerousCountriesForWomen_WDIGenderInequality_2019,MostDangerousCountriesForWomen_WDIAttitudesTowardViolence_2019
Country_751,0.7575398508697884,546.298675575481,69.46786959169592,38.506072186369664,40.88049283398273,15.162853183365277,90.86955888497181,71.47917486627068,73.98240325169807,16.591897147599145
Country_752,0.5264792442371461,432.6768779511304,43.985957121241995,27.329925292921757,30.5990176421474,1.7362003388139202,21.616661734030316,74.59071518480597,35.2167528813691,69.46019265837666
Country_753,0.17895458624670568,475.6356057822062,23.317120199094767,24.475489874756022,72.47144281887344,99.18055119579309,64.01087460587307,10.434370530605586,46.4462121447903,9.78550978220204
Country_754,0.027400807753824696,588.8707341826279,52.36283674205106,45.054288514790095,34.07735792346027,12.8033864197175,50.0569965553186,34.092926128911,56.183856851546565,8.687530000129517
Country_755,0.8639605205725831,560.0123256832056,87.90520790110631,25.864525170845727,46.17872074927195,64.42417489470463,66.52739316397258,48.73487716223921,71.86117881482296,89.7652402184052
Country_756,0.5554012238021667,467.926520119948,65.986960944634,5.732647013262304,55.02370467481315,24.93043119876849,55.9477634963677,78.70249947554295,28.035162616077468,18.094952937049857
Country_757,0.7213651551237326,555.4027069535747,37.110807355342445,30.99521200536793,21.21303154071329,32.84711453290326,73.4933087449454,73.58543362491848,54.15536891170878,48.33613489032472
Country_758,0.31063222716217975,537.0766831999504,33.502757986513885,0.10920282900965805,40.3646916367278,43.846994348279246,59.993941762215016,10.944016361303376,5.6901969043065215,51.33354439794441
Country_759,0.359956843241652,480.24352818864503,17.94940654029289,11.861137431786057,13.800512885423455,5.3753199267585705,69.39875948041593,0.11616357663397636,57.86047117489317,74.60728727151788
Country_760,0.8999315118287302,531.724670717109,6.966035009278393,7.96885862875209,93.31151000941853,3.2547391243197055,41.05153292274406,24.72885087705271,21.682604442611954,66.23869812251341
Country_761,0.06088977469437162,469.99400953903245,89.34122156797606,8.053119917555158,47.30808169212002,6.281323373283043,47.36835725161226,77.77276303709073,85.37473850889474,24.350915116579063
Country_762,0.9625095002519202,484.04882691849946,21.901238418729495,19.06333489036372,34.854840314327454,26.17332448993157,23.864874848756124,50.55694233423333,30.545160182068763,36.00070982448298
Country_763,0.6691856944523266,482.575256071422,25.957940533279565,21.684963994576066,26.662876447437146,70.14235348403446,6.702369393458085,56.61066312875097,15.722345966773554,5.123442480149754
Country_764,0.08828830896088968,479.9833605415279,7.289344134658493,12.836762143671532,77.6620917663069,77.09764650831275,49.1575499270582,83.40996242252287,99.96056681773014,40.322260980516454
Country_765,0.3929880402389879,472.1059493341222,70.78828457273409,0.1311315030445015,9.100240795715065,66.64241809380852,93.36170242297591,63.13949054367431,87.17516681628406,40.75100998403964
Country_766,0.37562574007514227,416.9792276558019,87.65256445763985,46.67828171451734,59.059714215120984,61.43714500676104,63.28567915647816,94.07058552732943,52.970944035667756,18.223900045352938
Country_767,0.9176602387098216,420.86903505315297,2.4655348667754096,25.467705538415185,18.14627028261163,55.28949081940976,50.930962556154704,62.90181155963158,79.64917556896364,65.91231775706315
Country_768,0.05347637475471778,589.4874368042158,7.550980554239651,27.691793192960724,38.831671733048914,90.16219580208481,27.464441798562888,54.13705648289494,81.06006126334893,11.364054420393055
Country_769,0.5410493982754586,557.0133960000819,53.027382950042565,25.9674213808319,42.241077546796056,31.327601966967034,39.88303150614577,1.719019736622518,11.202832568248333,97.56881024463779
Country_770,0.07073145386918833,443.07620955216487,52.74062723831516,0.4115677826713404,60.61321290731754,53.21180225413956,23.55966684913313,7.3514795926660215,21.220506884042155,24.44484375988447
Country_771,0.10523704308387827,577.5961400020211,48.507087644089054,25.41316425989293,80.55953655343835,39.12032266637881,27.331255698345846,24.525191368066956,90.72628134456455,39.869047112340574
Country_772,0.6480257648362027,506.0938432708195,18.50018883097757,29.799247112706407,20.78717007655968,69.97391643647009,68.84395157155701,21.8052746255311,32.10738755476243,19.639296019222442
Country_773,0.07868131733407635,520.804380228147,41.43603872644444,15.437029367798871,44.64367885285855,46.994118056933374,4.183621657848835,79.52237295547513,33.59297434355577,32.05049806905661
Country_774,0.25491991465684005,570.180158940443,8.138676461524385,28.819796891078436,3.7114698116153644,84.89467307892919,38.08815098152524,63.991735914948414,50.49522943816681,94.13071183526517
Country_775,0.40371963709413317,488.07468279114056,10.306223890364919,5.0420530694052275,60.38231755219465,67.4257516605582,59.926904133523266,12.661788675626806,46.74191953156769,73.27320323478716
Country_776,0.45751846621579084,555.8388536989189,96.63160112026384,27.909922139255787,98.95510296343976,14.392883045602812,9.859099678453342,41.930385204260986,68.85054221729803,13.71591597005275
Country_777,0.7498952398376727,493.41813868929296,70.28329515822269,10.043471090461425,79.26142710365147,30.24174899020613,33.444919518125836,99.75717937331952,89.70694567480312,81.37986665415092
Country_778,0.24257322502229617,420.2067472895329,81.4745200402837,43.871464275078175,17.0794919730182,25.6363629521288,98.14975156702816,72.93070155166528,68.14456789046992,84.07734766621297
Country_779,0.382925112687702,565.3609168409037,51.654849092375855,33.44037526085529,15.05267080700735,26.96685620500121,34.2321043800219,97.19663845136172,95.63421479427483,57.48836053006933
Country_780,0.4970842507675668,429.4678516529211,60.4463083533471,26.241610560530248,22.432322182958554,83.79350525276882,68.76127541995865,10.973034573576523,98.26318709278176,24.105579887276242
Country_781,0.7146090408770333,457.30299925782924,87.76498626076747,23.423571990823394,19.03326629650507,0.5227685913081759,27.322085182868207,60.89361942325371,61.156479413604146,45.320739450086414
Country_782,0.7107772281411758,534.3021590223864,62.22092648777594,23.649339696031767,4.292771278765972,14.229490988102732,58.24332268738767,54.225275957029375,84.34167832161516,65.0159291166317
Country_783,0.7734843573461807,464.1628454225938,54.81634640540152,40.507661293406564,43.21253096782702,21.197630772964217,52.62845567138823,20.681871518389304,70.22293731140408,43.686178191346144
Country_784,0.2427961207390542,565.0420504550057,19.694467967782224,46.00069286060227,79.98574071178174,89.70343955398974,19.68304518603744,39.99073728695889,70.18653440476325,26.41901046387548
Country_785,0.5996788922568211,552.197774958782,44.041553520450606,41.65026872041525,98.89694414784942,74.12473455955555,69.60245555446393,35.32855203406019,97.0613042413559,7.009274561117962
Country_786,0.3731254763804561,597.8377800710974,47.236477843618054,27.108541700856925,66.361394091534,64.35561204957006,29.463533362372207,97.61128878469376,70.51122093086674,98.042110093311
Country_787,0.38301307629354786,493.8726452319262,97.61201184126419,4.51220475814833,56.432820252646955,19.065247569013867,36.443282244447985,12.043530352174002,80.97844980933986,73.5289858119103
Country_788,0.048493066925835215,529.1426052969447,36.74316571920196,13.977437186146096,13.603407193198935,37.98377866543624,2.5754294419074952,23.288467445710026,36.97960034749749,48.66025188516987
Country_789,0.8912629864948647,533.4162351168873,31.12811333313926,12.532651981207238,65.3478995870938,30.46457255227667,19.78312154555949,58.92776936471281,70.81914128936853,0.48020226325468096
Country_790,0.027743705299080212,580.3526060292148,42.8969740688656,42.39677024452612,22.859777485529065,32.982575668879754,39.980010982919836,96.33599124484752,25.01972727030197,11.898565421707142
Country_791,0.2928349062504443,539.7660693513187,68.97246500962596,18.692938956964746,49.35900244786274,66.98240695818288,46.33560348232898,68.71554215846436,6.051720760825097,46.74664298907718
Country_792,0.9678514792043357,479.088297496529,89.52111568102669,2.328881653625059,79.81177315931176,43.3488746145578,85.10893610600465,17.34201328270434,15.887377105313716,45.661935614231965
Country_793,0.5480320019405013,592.2684603134485,89.98037822248024,20.867467349534596,91.77531557710594,38.636690848665964,71.22160178641215,32.6224575082436,7.435095104023226,51.03654287314177
Country_794,0.8213587682222571,487.27679954748135,92.56713568689776,22.433720047787713,20.429879383118887,54.042503420454125,80.31118187379752,2.526140525059961,32.63652635985865,19.951710653369314
Country_795,0.5349417138882921,543.3238056103864,17.84101590329832,24.76589585253833,54.2435945496934,67.07506371235553,5.930420682821391,9.60008155269495,46.927328128241896,33.49489355874773
Country_796,0.04853777927494696,545.4832707944925,81.16839247285466,28.194032833098742,13.408183998378586,69.88405200321705,69.46456117713728,37.106896030142465,21.945585298669577,61.763845825177185
Country_797,0.5483337220604508,484.60264585575356,58.03416541083193,39.378381266681544,58.40628827856133,0.17247174835460788,96.81720583626502,37.796471011534074,96.72946606721618,82.93917312762166
Country_798,0.9608125577729925,578.8068814115818,32.41756374243012,40.10137959471823,13.472225741939159,17.86954084315726,52.649971585841996,15.513220556165697,97.3093132805737,75.91154416149901
Country_799,0.06346366604615128,573.8835122863974,42.33959232181448,13.227408943625935,53.95456303311271,32.37105550788117,28.941876329903906,76.83813903776094,58.536800783989094,81.4512383992311
Country_800,0.21298906655424477,548.7042000860138,11.37908975068781,21.18112432958275,3.4723753182742456,64.3258918076867,23.02076915973228,46.283173104255106,56.4154722032437,51.79888537463808
Country_801,0.10146459422190646,588.8499261235311,95.4556512714286,2.9386456401682306,48.79926409744374,75.43715396170947,73.00910161715434,44.6402276535792,34.481310483477756,29.834233731075066
Country_802,0.6262073044840061,470.75680798336,4.849129456392376,39.8836206872188,11.979061692890392,8.241263850260127,8.788815299487151,52.29299399280757,95.87335844641296,82.76953902793063
Country_803,0.8006028146625893,449.7559203391334,7.404822176408555,14.495200211799153,42.256032285429825,98.74091196291556,30.077459208596814,68.22102019347872,64.9918433649586,57.18030146097753
Country_804,0.23045521991369733,481.25254693372494,52.6494768118914,33.74261888487465,25.113166778857053,61.77422265945629,20.600544424287982,35.89653450979146,52.81210954397131,8.556630660658426
Country_805,0.34072870963771795,576.2292802609735,50.22860896927741,27.39973126740185,75.08282728427098,2.440273120706815,87.05048419414122,0.10785983764438623,76.66690322441751,11.49937795702577
Country_806,0.6487693657052962,493.1416121267453,46.052245525752575,36.95335267978755,19.97865113297671,10.66323645983135,83.88787280691977,53.68962240265572,52.17829617581544,23.365129163170696
Country_807,0.10337183771023195,568.2552740785019,72.04548573736147,8.640350316571304,67.01863134314975,29.93121843660258,87.4912764341729,22.31410311533779,75.80506354973107,7.389134859871616
Country_808,0.9520806587465619,573.5381986741079,24.032138922324332,42.043151432414454,56.79877491546767,25.765686076286244,47.595875290490184,30.412195227297868,85.91712311035222,93.86582154865823
Country_809,0.5197432295949694,523.4887471745914,28.781189542636355,20.970225196979612,64.984820203666,13.646805656297056,50.12302407329171,63.20513730919464,19.821803526375003,70.80004594831968
Country_810,0.7817623716438528,471.21768829646294,44.55543420480416,38.468471655712634,92.21152869114162,79.69125431395658,70.58789832218297,25.518056413897604,95.18562823998936,33.105750582415624
Country_811,0.5197636434074113,501.69369711136176,76.80589242052532,42.93005004160484,59.064879561251125,37.096093452467606,91.56452468740852,39.2854408864694,86.21918806969524,66.89658231379491
Country_812,0.6824512384707537,446.4336348497378,11.44905575011046,27.083693440731544,12.816972655728287,77.63373691411579,1.6764904773599265,51.51786406319366,3.1639557420248043,31.894930117921916
Country_813,0.9080482237846377,465.6110863562603,66.31343187569563,28.534095581604653,53.04003687589191,37.792815883617,8.851230332441629,71.17659274855426,92.09596463669965,1.8130126613171593
Country_814,0.8881131768596854,538.3691464843097,16.07448606820413,16.85795168152274,2.0064219813433204,38.208597107042706,60.53068881079228,22.196871505951734,33.2905351351143,6.973709185225152
Country_815,0.2642541301242126,582.9638130038406,30.633661375669508,27.707372860276724,19.389900327150144,49.26409258452637,72.03039357254684,45.52928700901702,62.04434553775137,54.587220901264864
Country_816,0.7317518663882077,435.4861583287053,0.6358244435241578,29.090095132525946,17.155738436724732,25.218727328736655,18.93922082702012,20.95117512840069,55.433312715770946,96.15416997580203
Country_817,0.04612114679399637,563.6830980948914,67.66948260073387,6.5187357969802235,72.57396045248643,7.788950742286871,15.611383569946668,24.096667037755314,97.94898232621675,72.00952408218309
Country_818,0.3789334032111763,423.48566903632604,29.462087386760828,12.561145219735076,80.16383799123625,22.6425833824177,90.87481823383125,40.61309760263978,71.76694788831823,69.77377381685217
Country_819,0.9131882448072864,538.7569045318292,31.57605989893437,12.202814071618112,3.21217027319175,61.148098473501534,52.539986576340524,17.008527296908717,31.927425314937665,83.55593507753608
Country_820,0.023426273983420787,525.8048744650426,66.38730548966993,18.457417924977303,76.80073357163924,41.77691278082939,74.32633920077056,49.001681204973345,73.6092567459785,23.595204113914814
Country_821,0.6855276781673615,544.9678659823381,98.42099757016139,30.827058055888738,25.70103813087813,83.29696014524517,42.99769867975824,51.48325063615539,4.086243952142244,28.604123191901778
Country_822,0.3732663709232855,497.15046050693076,92.32818097081909,36.72837676889786,57.34074416135109,89.87524401008032,97.41644902957415,76.69936684520664,25.10466196985872,20.853144705901826
Country_823,0.1472937395388746,565.1671921172452,96.51909669528695,32.07095605925569,7.3063810589669265,76.39579964388862,11.799259242674543,13.017564446763641,34.02719782855775,0.6865128811239463
Country_824,0.4835844541593356,593.0265102033376,93.63993873334066,15.653435980150537,74.23262877772714,81.40682477711742,93.5511197130012,19.555559683913636,63.3965041743919,80.15228580947836
Country_825,0.10930722112999991,558.6264336887837,25.666021773236025,49.01569697985027,36.863057546900926,42.035441674097996,60.205435552447575,28.940339381665602,71.5640913844806,49.66673816319322
Country_826,0.7619210366235084,539.945125971315,21.558116019967244,23.5268069707967,85.49799400808763,93.2522672052992,38.35045943756911,69.06471990421352,36.784719307566846,90.22670186654399
Country_827,0.2929822528820052,420.3559202563989,60.44644063126834,21.013364355900453,70.45814587825554,14.952785780300527,69.44868975671639,1.157814553910419,23.125209225235643,67.56778245882192
Country_828,0.9004614260153009,509.026447543505,66.53566787412879,11.30566276893239,23.368886514997346,74.6094436695834,14.6426350326897,62.45190718748091,99.68188708149722,95.68866379967653
Country_829,0.9332104368905705,548.8091619322448,71.65208228294388,23.068622807394657,30.36937827347954,62.68647750378924,47.020515199082055,16.76151193625669,81.87647819795747,36.93671461801083
Country_830,0.7133212528081943,519.0199796084048,44.82137807845512,44.3370498759169,48.74471805172641,43.09427157977639,64.16992349298557,42.086937317991335,69.00866215094992,43.09035037490443
Country_831,0.40108317373906777,527.5768147269433,72.13673885333678,39.620488244266575,0.5033581581987967,16.24354566693931,33.88941541521985,10.954807513068243,41.20029695563768,98.02521635816656
Country_832,0.6475653494545064,453.28876862170125,55.908709639826306,44.99510913928008,79.41491887753506,2.5271555697792825,58.390457602562606,49.970890165221164,49.53216677892276,97.4314224904526
Country_833,0.9819683645060858,440.1774355810139,40.81506011203151,38.886079774431764,6.09581365301789,37.88967092586366,3.093065002924267,40.591473524769675,19.266856612221584,45.01076249568682
Country_834,0.7672490183813986,574.596627386452,57.406361932365634,27.166679545933974,11.6397465231866,78.52334361121285,62.96745207280212,69.09068762597666,3.9342705080865903,38.83276515717202
Country_835,0.8534232341557009,493.69669432416947,32.92395894256085,49.18537970640002,52.07479031960186,45.92741274340407,91.40078364140527,14.452549503309275,84.28020372995461,20.392987284480245
Country_836,0.18479009349065745,578.7126935398078,38.427453217256435,4.2067969145569375,42.04522496768709,51.59135849790443,60.08521607275714,72.80643973706376,94.18213623784631,58.35875933038249
Country_837,0.35447641726582924,576.2860191378431,26.63313232851985,2.3491580871482842,42.99078836716821,34.44189379758572,65.42375826673161,48.48275629519411,37.23064958601601,93.78410105797107
Country_838,0.19177530426988154,573.1889748547214,20.048094456055786,11.151145915788923,51.664574897678385,3.76053573766415,95.8519855394195,43.0751419687237,70.85809823519035,62.69995544021487
Country_839,0.11467510031853245,470.57879128993943,72.72154221769277,7.0076339475940275,53.82114218179128,64.2623179399296,38.55312034590522,19.041681772305395,74.09769441216584,99.45266054156738
Country_840,0.6917104113193532,401.50145967982553,46.26663304250561,18.12861619638887,55.084791787775735,27.938059231007728,50.56559808327141,12.673352361704316,86.3905477628603,79.91967949237305
Country_841,0.5671338679506513,599.6420149174951,50.93046874079934,10.89544207721061,37.59258835466307,67.74561103909656,12.610143388823204,46.652585334312846,28.00725360883559,96.32455674441317
Country_842,0.6772570343563216,443.85605153137305,63.1769494189865,37.7647141351653,67.47941193984609,20.995529639659093,91.04842778309356,7.727930364192648,40.54367994923833,35.989714615065246
Country_843,0.046986115260666095,447.8163678352187,47.43012156047873,38.60810292975859,71.96775058911588,95.79085025825465,11.569946098675166,62.02443335809763,99.18770818055874,75.21066229517588
Country_844,0.9154432916985719,574.7761057912594,2.443082704315225,4.918981809530659,0.4748077150325547,29.975799340426523,9.787556978379852,32.36947225397904,3.768304912134235,10.240666430147439
Country_845,0.2959995356690306,529.0505667180948,64.26024076648184,34.54044907415615,33.14201130290424,56.30677775664661,81.46919003572492,73.71232252283488,8.08338188609098,16.706602153174867
Country_846,0.4699929023461864,564.5713793819472,99.93706760192318,47.82436254626419,46.678318968848174,36.743868702776524,70.26106872590991,60.403902455169735,17.910921238584333,94.85797068433894
Country_847,0.5263202740014817,416.0375739099558,28.306724283086705,41.82358546906054,47.01711326279643,75.76986524392072,31.27108526907101,9.354852587269313,35.39252154304924,92.12682494512299
Country_848,0.3346786920034137,545.2367316305392,45.41684825198053,2.6701319614904575,12.128893858364664,0.9467834163802369,95.05427063176332,87.7821330795106,96.4674237697615,58.82629759716864
Country_849,0.3871330629233618,586.1714042549945,89.58691056318612,31.75162647209039,93.98965108833357,76.03306002443978,80.91307419952898,69.32545424007061,59.71438177789844,8.016672608925923
Country_850,0.08316830621823879,405.3453850192228,27.71797865533322,7.722546692418702,72.93541292209629,78.58983009668215,86.86181555173455,96.81226784189766,13.980363645157546,60.93657205162006
Country_851,0.8242258230090443,403.93035280944565,95.47756768538389,6.518810419445637,24.07219731918907,69.07058073373955,55.90970100980475,16.238535967380628,65.79674859148558,82.11391243218856
Country_852,0.06586000374344425,530.1506978935901,25.277267524623536,5.0290004567243916,29.37877888707724,45.134813195142286,35.36243343611646,11.753261001293403,45.13259990699011,6.564261186762888
Country_853,0.18566458255301455,450.6812943083234,68.29571126625689,24.799226550078657,13.220880035827442,31.37598604062144,49.08476376844626,49.28795272106981,94.02720195834173,62.00393154367109
Country_854,0.5514085478027148,558.5861753685405,27.479065490590937,5.404495538113702,4.9124876755346385,90.27499415126996,41.05616216610161,31.09542172738169,90.48355748805241,83.1850696295858
Country_855,0.6033233464900247,552.0613579109806,58.06469154228554,28.31226880370108,65.0401610309881,2.1042662968029036,80.7975226134791,66.73041486012498,64.20558994917724,48.40533047884621
Country_856,0.9602358206158675,407.9745742286986,70.24674179663741,35.70181150494008,19.410635484331294,6.256195936481134,44.646250146069846,28.32140229539528,88.44530987367493,65.84200651329643
Country_857,0.03559737086813519,515.5074152492609,38.35238633254877,0.2412971043796619,70.41334028552808,2.433924641702734,74.77549753044717,73.03274856120929,73.83489690005149,8.519629659961314
Country_858,0.9959445749180316,508.02518522779417,56.97786485072987,33.58945665013774,99.5396826994146,59.507952735433314,86.52995481229966,9.563408612666958,86.1344981685822,23.031351553748813
Country_859,0.7470449252416455,596.8525095197617,81.68572524770903,0.0065871303269959824,80.21288243554072,76.26835792671957,45.385087331394416,18.6453470424629,46.837636198058874,73.4942557565094
Country_860,0.6859587402733195,474.58215553826125,92.30303773626393,13.85063122398648,33.281546679982334,32.940993673382266,90.92442603221289,52.21499734320899,92.18052711384101,94.95611997674841
Country_861,0.8634035713822867,566.5850279755149,59.83794735090684,35.45196907602897,54.84359121311777,46.04227230568681,57.423035248407096,13.884174179523756,68.53881187203568,90.77392239548826
Country_862,0.9621519729329506,414.05462080000757,20.61826286612386,31.172983925703395,70.09171525781801,29.03380013065392,5.43535613783428,77.87973737927805,86.98525896149317,61.37170624117032
Country_863,0.18176425259023832,455.2694125975439,47.651446683324174,35.98958008415339,66.6395248495377,60.05758010399851,25.500345602482945,24.663570138080903,78.37862798621371,56.8608395449383
Country_864,0.48395976623158243,481.6628971082238,50.140447641537456,22.156657490529042,36.748623947713256,74.43445583305679,30.18987659642137,47.269740483469334,15.737036308647767,95.84128301128891
Country_865,0.3212421587368868,402.4048155244575,99.62600146655623,28.01606131880882,88.95405613138597,68.09561873667126,99.3809769819628,80.7393956190835,62.62991729749129,43.93152300313838
Country_866,0.8812818550495647,404.7835482574515,28.76916933839594,20.78644504355262,41.33491966809433,73.78486455461642,63.61665053851833,19.68553380740312,57.25018452334603,23.156223572160517
Country_867,0.20532567172666083,567.9303457075148,81.65471972790355,41.967055312186744,68.53163497207339,70.3598370346901,50.057070487052336,86.0593376575292,9.50527334853728,54.87262435151698
Country_868,0.42977211295664075,446.780992021001,25.83632737688616,27.83798347993184,86.37905165947244,38.28717011145649,4.2725129911045485,42.6864405104742,79.57572807341204,36.12671033973571
Country_869,0.6302127801071974,465.985091271703,82.79028115203448,18.36361462266184,2.923312280291157,5.084946494374343,70.87328526760759,77.06515892495887,39.520449234339814,2.798086819884116
Country_870,0.9967608592724237,450.4135893488009,95.49506474210862,28.442082427489897,76.39237932621361,76.30202649742026,67.42992056897592,36.61863065553419,79.02353485375858,64.98417612696883
Country_871,0.46947009159747044,470.7099574195919,52.13009525179294,1.7186123967175615,52.037988987850206,80.67088372085745,92.41861267619707,85.81819643733843,63.59682630562023,25.611407980104683
Country_872,0.8259191053656776,441.42047947570995,85.4578333260584,45.6362062639768,65.9180307657154,58.9673315573982,89.74716228333666,98.15639231230317,1.2524551118563654,40.81019035297003
Country_873,0.23767808314790162,538.5295740783463,87.75137505311737,18.01084149938187,69.662276598588,60.199200948212365,2.893132495910744,84.56733639030011,82.33615960783268,89.64313976001598
Country_874,0.16901146598170047,507.3224109866845,37.51028550957906,41.89603901387753,10.752580824368508,75.20492050960583,11.139104137500366,35.68841849699358,74.7770033317083,84.07050241446964
Country_875,0.15796978206218326,452.4591260649337,71.40169885315912,2.2630256377127624,4.1390754489411545,98.49544375813409,85.96429042007786,96.82430119778279,12.389831185003874,29.907272878371682
Country_876,0.007729132763090063,494.61968198269966,25.661269997550473,40.73208058038011,56.98396656472401,12.43890199877421,52.249894147110886,20.99234017352637,49.22353259735165,95.2508087184914
Country_877,0.7043398274086108,551.707609567718,9.588863741568721,20.356072253025896,50.388936673622766,76.14642282472963,93.782132359305,84.36734606169726,34.98066969143401,54.44739773464294
Country_878,0.6436024787054528,424.59447765862933,76.57355406567957,20.678920190650192,19.383303702257848,13.719351877961383,22.954179441681568,37.43854157841403,66.8749075246565,5.070167911202561
Country_879,0.21474972497148426,548.243353945322,42.39385075146463,40.42759003838107,53.490643047463784,60.807795038331115,27.201235342016595,97.6760912601684,85.55848153256113,57.94944428657844
Country_880,0.5146829625954236,599.2383266990771,55.466016303642576,21.749319231112462,23.763592740987782,55.58840501351819,9.698036453017455,13.100607153326905,44.40208436044919,28.093049776357525
Country_881,0.9790123184177707,421.39940149851896,90.72994269697436,40.49165995273277,14.450644164028104,12.72510593342463,4.018785398606129,90.7628836836368,8.161272613292725,40.12161269021431
Country_882,0.1569334939315451,583.8652674534887,40.2211422726419,11.835951344499213,32.022885625412556,20.400159615240376,16.461424633181654,81.45736679696186,45.355922076469355,61.362478293304356
Country_883,0.3110389455634993,563.8913277425318,49.06654303322844,37.025483330136424,64.38154010470839,83.82133278881668,43.314313010877804,40.51853132064962,12.789429470460256,2.162887507505129
Country_884,0.8942490651256745,520.5108545272287,53.817409977155485,37.501747051918436,46.670491017184524,79.65217308134002,63.48479317176383,24.852388755111342,51.63152574158153,17.398890924927933
Country_885,0.3770000096139424,433.8807299619505,81.83085331469665,15.395967420617279,40.22652931306301,27.490469965376075,57.30989012265828,74.51396919989135,15.027284375647266,10.474392256608878
Country_886,0.07737714308468446,450.5935678313187,8.751695476855614,30.76255682511595,24.06527469207216,87.09186288845336,22.422358288537524,90.99713286330278,67.58309936157461,84.04073140600215
Country_887,0.3713881298404418,593.8850520685697,54.00868049719989,49.88364817570335,82.89747056503627,42.5021297902821,50.15977422372016,55.83057758127299,70.95858982739041,33.77513340188473
Country_888,0.6393273775839734,461.6160034655494,62.92741404036042,31.314344526537386,6.325351531304058,33.50578564975943,76.72695199504625,50.02863277234317,48.70880048738114,90.66969664291183
Country_889,0.308929223098766,579.4296232098766,38.254096820673155,18.787847955820297,77.69123777156084,32.23920429727383,61.94751639340732,5.005164237159965,10.432223725629687,76.45420163740638
Country_890,0.12836085525099572,408.2331805068988,72.01477245696597,25.707879085802297,36.30041161927839,65.88389481196724,11.670448936995182,85.86715043508957,19.394270268901604,22.369816711846326
Country_891,0.6360988448580022,531.9329207558171,74.08252878213578,8.44946540835308,79.00386750006898,16.949394929847795,85.7071388783453,49.96010080121557,91.43423087523465,82.05524742162346
Country_892,0.37139033508366615,439.4519835326317,77.96704259874303,31.411771805213185,93.92008185658662,78.86686138092232,97.04205333661287,99.3575956468948,72.56040059010583,7.579057524863719
Country_893,0.46017423160265736,412.7099511359716,90.91479570366904,22.53332861269714,88.99324175234182,76.77530077105746,37.527664045453754,19.264225855358287,56.045577231498775,35.221800718969064
Country_894,0.5978681056971649,526.6925395595796,21.795612733938896,31.291657583632933,31.40261278012675,79.179766240432,54.039258786290375,12.483275106321546,73.82633385889808,87.58931795549636
Country_895,0.6112058180385315,400.2409164438482,94.06615154319785,16.4240327103976,45.51262005710047,68.80655722712063,52.50373957963173,48.91064760944389,29.589752490179023,62.09931573699742
Country_896,0.6860407280486323,599.3696201793928,60.405346653877956,38.14330049172795,14.270503460645823,76.81796376692553,3.7118387578914502,29.068126330675494,92.89619219561985,50.773709842758784
Country_897,0.26347074169964246,571.9886770561145,78.92054828549611,43.65981202304564,67.3505258075622,58.29864593756417,67.26264101413778,47.79783157519544,88.42054873115589,10.85580301010517
Country_898,0.1627354380808872,432.2920266482349,7.9631423552766645,40.06699755028759,0.8488700510602354,76.0072626818652,83.16512818875266,32.764358180063645,75.99282213188184,36.09018289147555
Country_899,0.40314324360143383,534.303549638193,85.14082576857056,29.571190235622858,42.263895440878905,75.53610060515706,16.072420974024215,13.416489039938362,58.76143086065559,8.936286701658513
Country_900,0.10125617979774837,502.4372905727972,53.382133116801654,20.029435664061722,18.33491430916132,26.094856536957778,10.934609658512018,98.90574434533868,3.661935673092087,14.87310370289462
Country_901,0.18908628097618096,488.01246157051395,70.2681134013009,39.68311315222369,91.92939540225436,86.18968315675822,79.83455662146135,22.420219625522307,65.15176419796772,30.984341180343478
Country_902,0.07028942990949594,562.6238440738504,7.489789711563666,22.52342155398317,80.7665526393818,59.84576578965035,27.73320534589966,15.104110928157189,93.8899878555074,20.71674414320678
Country_903,0.7732859850956639,477.67663301675435,55.97146723319053,32.01882611558066,13.551940524018235,29.767177618936135,97.32033720139108,55.458298193493796,16.14162616380549,64.11746174997825
Country_904,0.8008979239470169,474.92571788919383,10.385973620380307,15.441996869934638,82.27024718988389,33.13554171389828,86.6735304417682,9.191947295897085,62.677530674676305,44.0525688389957
Country_905,0.7541050098225578,433.29007218148195,42.35554178402986,25.411127907158516,6.024570455386591,44.500053315730014,66.88622467360163,39.11835964341992,26.29704166417204,69.09490846347528
Country_906,0.8118562858864093,547.6421802095304,36.23675814926166,23.008512654707186,91.50566122381976,64.3875732447873,77.54445611845576,87.90934485763738,5.380959817146924,8.874062979490049
Country_907,0.44975776603930906,555.9341311478217,17.97365729302367,10.305181434317873,22.575080021484695,91.12940830756446,76.6629879673259,64.01460021391262,67.77020582774207,73.69698828318164
Country_908,0.1283924843064259,438.3520072139915,14.680161582103214,44.413757776243976,52.24015198759155,66.40027789469262,27.91235733955094,40.02978859648786,42.61481111747377,47.32897208514638
